Total adds: 100
Total removes: 50
State: 4dc6959be2f2cd5e8e247e8359dd8391a027af4e01512a7c232f24455eb2dd93
Latencies:
1.9118677197094E7 59.552441999316216
1.9120661592475E7 51.53149800002575
1.9122657651243E7 39.40814100205898
1.9124659822484E7 42.10268600285053
1.9126660271454E7 59.53539599850774
1.9128655415016E7 138.52776399999857
1.9130663576085E7 47.156720999628305
1.9132662433866E7 38.04644300043583
1.9134656692409E7 39.15770000219345
1.913665634582E7 202.52573799714446
1.9138656295107E7 49.88499600067735
1.9140658382733E7 42.997166000306606
1.9142656724037E7 44.19015799835324
1.9144662782071E7 48.25890900194645
1.9146656238183E7 149.56579399853945
1.9148656092658E7 104.20825599879026
1.9150657115237E7 46.20797999948263
1.915265991577E7 41.40269200131297
1.9154657038308E7 32.624866999685764
1.9156659109073E7 43.772723998874426
1.91586558636E7 50.31854600086808
1.9160655891203E7 45.962342999875546
1.9162656584727E7 53.3578630015254
1.9164666560175E7 45.18119200319052
1.9166656928205E7 138.42421799898148
1.9168655917251E7 276.48280499875546
1.9170663761852E7 41.25832200050354
1.9172656309212E7 131.71050100028515
1.9174660902595E7 54.00612699985504
1.9176656829384E7 33.91713500022888
1.9178661732857E7 36.59287400171161
1.9180660777583E7 51.82203299924731
1.9182656451696E7 39.29609100148082
1.9184657312768E7 34.218038000166416
1.9186663930388E7 51.33645899966359
1.9188660946655E7 165.30757199972868
1.9190656423673E7 44.00831099972129
1.9192655708295E7 38.0789039991796
1.9194657562772E7 227.9467019997537
1.9196657178976E7 41.406622998416424
1.919865702324E7 27.183231998234987
1.9200660497634E7 34.5216660015285
1.9202658298395E7 41.257437001913786
1.9204657488166E7 42.08737099915743
1.9206659374952E7 26.093460001051426
1.9208657979412E7 166.3198890015483
1.9210660023307E7 166.11860099807382
1.9212658368819E7 49.07410699874163
1.9214659808239E7 37.78532400354743
1.9216656816505E7 45.64156499877572
1.9218657208081E7 46.08506799861789
1.922066026661E7 55.448917001485825
1.9222658338297E7 40.85906499996781
1.9224658698419E7 152.93488400056958
1.922665797522E7 35.06557899713516
1.9228657733765E7 30.083265997469425
1.923065819282E7 41.09800099954009
1.9232659262979E7 186.10490000247955
1.923465921978E7 168.87868600338697
1.9236660484816E7 133.21463700011373
1.9238657690317E7 275.2417890019715
1.9240658346701E7 37.71238100156188
1.9242658640046E7 178.59744099900126
1.9244658994504E7 30.676320999860764
1.9246659366263E7 35.695948999375105
1.9248661114334E7 41.0771819986403
1.9250659408348E7 149.07721600309014
1.9252659057095E7 202.63518900051713
1.9254660393572E7 36.64935600012541
1.925665941265E7 36.77706500142813
1.9258660715025E7 204.50562899932265
1.9260659025412E7 36.71329199895263
1.9262661984301E7 193.5648600012064
1.9264660555662E7 221.72260399907827
1.926666033055E7 209.48849200084805
1.9268660483621E7 39.3068810030818
1.9270662324325E7 32.87251999974251
1.9272660696626E7 29.30153600126505
1.9274661473696E7 33.79308399930596
1.9276662458494E7 32.35674199834466
1.9278662717564E7 28.29731000214815
1.9280660460496E7 47.0786200016737
1.9282660707062E7 35.293529000133276
1.9284662598095E7 43.636176001280546
1.9286662102676E7 41.04635300114751
1.9288663897622E7 40.32708999887109
1.9290661995711E7 157.46304799988866
1.9292663398225E7 261.69513999670744
1.9294662052263E7 38.31956100091338
1.9296663847354E7 42.75536499917507
1.92986665465E7 40.059360999614
1.9300663429777E7 30.947151999920607
1.9302663693504E7 149.9859069995582
1.9304663441369E7 31.713841002434492
1.9306668345272E7 44.20575800165534
1.9308664289419E7 67.84830800071359
1.9310664986361E7 26.168168999254704
1.93126674219E7 43.29075000062585
1.9314664774865E7 34.410360001027584
1.9316666535197E7 118.73729100078344
1.9318665078705E7 39.20721499994397
1.9320666686034E7 36.51861400157213
1.9322667023236E7 225.84627299755812
1.9324664800888E7 45.497334998100996
1.9326664925307E7 33.42274599894881
1.9328665535223E7 38.700197000056505
1.9330665719624E7 33.50664100050926
1.9332668685142E7 44.187702000141144
1.9334668159517E7 33.394739001989365
1.9336666493553E7 35.647544000297785
1.9338667259125E7 41.387769002467394
1.934066730805E7 224.337116997689
1.9342667738704E7 39.726955000311136
1.9344668668831E7 35.521864999085665
1.9346666812672E7 27.571866001933813
1.9348675903588E7 57.70141400024295
1.9350668573308E7 48.23555399850011
1.9352671856831E7 49.39416800066829
1.9354668475883E7 42.77641599997878
1.9356675182877E7 50.466506998986006
1.9358669155348E7 44.19838500022888
1.9360668089569E7 32.69745099917054
1.9362667268645E7 29.94870800152421
1.936467138789E7 136.90304600074887
1.9366669097618E7 211.48190499842167
1.9368669253464E7 134.9891939982772
1.9370668293325E7 43.140758998692036
1.9372668757501E7 41.66043099761009
1.9374669879166E7 41.53781399875879
1.9376669046191E7 32.772466998547316
1.9378667536263E7 207.18647700175643
1.9380669202745E7 118.74547700211406
1.9382668977411E7 40.35623199865222
1.9384668460719E7 46.74523400142789
1.9386666879021E7 43.06473200023174
1.93886678114E7 40.81248699873686
1.9390667512156E7 29.465973999351263
1.9392668940206E7 180.70903999730945
1.9394673360768E7 28.177521001547575
1.939667087917E7 37.53278699889779
1.9398668772212E7 40.32950799912214
1.9400669898561E7 41.37103199958801
1.9402668826089E7 219.1949840001762
1.9404672475604E7 42.60009500011802
1.9406671161173E7 159.9194880016148
1.9408668783047E7 138.64756000041962
1.9410669599695E7 34.91712700203061
1.9412668279676E7 25.794984001666307
1.941466816598E7 22.674731999635696
1.9416668783451E7 152.32310999929905
