Total adds: 100
Total removes: 50
State: c829fdaa0a29ccb5fa9969c804deb53585a13586404c402f2125fe26f678e3fc
Latencies:
1.4402938546301E7 244.5542249996215
1.4404927987051E7 202.22622500173748
1.4406929414114E7 32.33833900094032
1.4408928707007E7 23.80616700090468
1.4410929335618E7 27.29567600041628
1.4412928591797E7 21.45367000065744
1.4414928678615E7 33.525267999619246
1.4416927859322E7 168.59813100099564
1.4418928191543E7 36.60979799926281
1.4420929697527E7 140.45028200000525
1.4422930340381E7 32.4831710010767
1.4424929177231E7 22.275640001520514
1.4426929974085E7 14.615860000252724
1.4428933811802E7 248.61809499934316
1.443092933276E7 27.84525000117719
1.4432939726133E7 231.14327399991453
1.4434929729142E7 24.526599001139402
1.4436929838997E7 23.75024100020528
1.4438932655776E7 34.351979998871684
1.4440929490439E7 25.498623998835683
1.4442931710623E7 14.617895999923348
1.4444929773522E7 19.113467000424862
1.444692899521E7 172.28026399947703
1.4448929058831E7 93.45109900087118
1.4450931670409E7 20.097416000440717
1.4452931891802E7 26.273490000516176
1.4454928870816E7 32.197860000655055
1.4456929208611E7 25.400938000530005
1.4458929102543E7 14.193603999912739
1.4460932153753E7 27.159975999966264
1.4462929578417E7 18.32813400030136
1.4464929696933E7 151.4586969986558
1.4466932433844E7 19.999547000974417
1.4468933725079E7 18.243682000786066
1.4470930939489E7 26.021276999264956
1.4472929896948E7 15.217563999816775
1.4474930314024E7 26.530546000227332
1.4476930282596E7 79.38022699952126
1.4478931067797E7 16.841215999796987
1.4480930333321E7 25.16169700026512
1.4482933446926E7 20.30894099920988
1.4484930581338E7 28.293836999684572
1.4486935128641E7 35.38414900004864
1.4488930533513E7 21.067762000486255
1.4490933010544E7 148.39503099955618
1.4492933248641E7 94.42902399972081
1.4494931140732E7 21.265224998816848
1.4496934061366E7 29.9882929995656
1.4498931793335E7 20.184925999492407
1.4500934074654E7 199.83890399895608
1.4502931574415E7 22.180815000087023
1.4504934962486E7 31.487170001491904
1.4506931583138E7 11.069693999364972
1.4508935137887E7 26.437387999147177
1.4510937306891E7 26.444351999089122
1.4512936540302E7 20.361234998330474
1.4514932815196E7 182.42722800001502
1.4516933500643E7 28.51058099977672
1.4518933080839E7 17.482532000169158
1.452093524386E7 26.87160300090909
1.4522937407632E7 171.73281400091946
1.4524934027307E7 55.20731000043452
1.4526933096206E7 20.36031699925661
1.452893352478E7 21.717086000368
1.4530936359718E7 27.351013001054525
1.4532935079215E7 129.82256199978292
1.4534934061375E7 21.66979300044477
1.4536934293911E7 22.070445001125336
1.453893404059E7 26.638693999499083
1.4540933625376E7 21.13727399893105
1.4542936982064E7 24.40484199859202
1.454493397012E7 152.32461299933493
1.4546936032745E7 170.36383399926126
1.4548938057554E7 34.22517899982631
1.4550934806456E7 117.50903499871492
1.4552937743131E7 26.722892001271248
1.4554938453549E7 26.167009999975562
1.4556934898551E7 120.58271900005639
1.4558935206288E7 22.606845000758767
1.456093457924E7 26.070550000295043
1.4562935426345E7 21.733164999634027
1.4564935242874E7 13.072537999600172
1.4566936875286E7 25.11014400050044
1.4568939113693E7 139.89060500077903
1.4570935707879E7 31.49502299912274
1.4572935582044E7 216.42264699935913
1.4574937908115E7 71.75949800014496
1.4576936337965E7 21.934439999982715
1.4578935823821E7 32.490878000855446
1.4580936270064E7 14.415568999946117
1.4582935618761E7 134.00864699855447
1.4584936362817E7 16.34685100056231
1.4586938632978E7 26.614684000611305
1.4588936026928E7 23.074144000187516
1.4590939396457E7 227.36116999946535
1.4592937300444E7 218.01912299916148
1.4594938554643E7 29.294514000415802
1.4596939044035E7 33.66832400113344
1.459893685861E7 22.420917000621557
1.4600941197167E7 162.61394700035453
1.4602937879399E7 140.10894499905407
1.4604937388657E7 25.6206809990108
1.4606937024329E7 21.099777000024915
1.4608937032646E7 20.062816999852657
1.4610936979103E7 139.97176700085402
1.4612940554658E7 32.23075000010431
1.4614938137607E7 130.77092900127172
1.4616938471955E7 24.72473599947989
1.4618940443322E7 37.94622899964452
1.4620937294373E7 19.6748489998281
1.4622940839056E7 31.057167999446392
1.4624939641343E7 31.804914999753237
1.4626937763807E7 26.785613000392914
1.4628941817982E7 29.731339998543262
1.4630938047533E7 24.64611699990928
1.4632939370855E7 24.00448999926448
1.463493849272E7 20.240338999778032
1.4636937770943E7 14.422223001718521
1.4638942967387E7 36.31471399962902
1.4640937953826E7 22.203796001151204
1.4642942356016E7 18.38977200165391
1.4644938812168E7 21.41230699978769
1.46469387915E7 25.422104001045227
1.4648940899677E7 27.532587999477983
1.4650941174544E7 14.77395199984312
1.4652941998868E7 29.31363799981773
1.4654939411117E7 54.50967200100422
1.4656940167051E7 151.5707520004362
1.4658940564413E7 156.31835900060833
1.4660940931768E7 176.67242399975657
1.4662939783124E7 140.43581900000572
1.4664939475844E7 19.053387999534607
1.4666940921791E7 35.31255500018597
1.4668940261658E7 22.46548300050199
1.4670941257208E7 30.347060000523925
1.4672941931374E7 213.69989200122654
1.4674941711963E7 27.234902000054717
1.4676943314817E7 166.65715700015426
1.4678941440616E7 127.49707899987698
1.468094086669E7 145.94533899985254
1.4682941322011E7 159.1224739998579
1.4684941230245E7 20.02826900035143
1.4686942805716E7 26.45643899962306
1.468894221059E7 24.45394599996507
1.4690941740449E7 14.02067399956286
1.4692945893387E7 200.04748199880123
1.4694941880846E7 12.122315999120474
1.4696942925403E7 11.55349500104785
1.4698942609002E7 23.474198998883367
1.4700942578696E7 169.3312999997288
