Total adds: 100
Total removes: 50
State: a3698ae9d8c39f66ada509089ec1c4718ba7ea317f69fb98ea945ec7610ea370
Latencies:
1.5786453180609E7 20.61289600096643
1.5788447182574E7 198.5384570006281
1.5790446910026E7 19.46119000017643
1.5792447115072E7 16.470797000452876
1.5794447273306E7 19.385806998237967
1.5796447075704E7 27.226073000580072
1.5798447617004E7 18.664343999698758
1.5800447240422E7 13.174439998343587
1.580244770718E7 21.52245100028813
1.5804447576543E7 28.355255000293255
1.5806447295804E7 30.378015998750925
1.5808446897969E7 30.529100000858307
1.5810447048476E7 12.59765899926424
1.5812447123558E7 111.42415699921548
1.5814446703678E7 23.15205700136721
1.5816447083102E7 18.17123700119555
1.581844742316E7 25.39254100061953
1.5820447675725E7 14.325964000076056
1.5822447656611E7 19.469303999096155
1.5824447314597E7 111.11173100024462
1.5826447689296E7 152.25243300013244
1.5828447598E7 165.1602269988507
1.5830448020637E7 173.26839400082827
1.5832448381775E7 16.165165999904275
1.583444880223E7 29.386460000649095
1.5836448271895E7 11.289214000105858
1.5838448724178E7 17.451526999473572
1.5840448258578E7 10.12946500070393
1.5842448315527E7 23.251391999423504
1.5844448610166E7 18.1513529997319
1.5846449253388E7 16.138180000707507
1.5848449894203E7 23.451911000534892
1.5850449756357E7 16.323694000020623
1.5852449147055E7 21.24048100039363
1.5854449296994E7 20.143578000366688
1.5856450183086E7 14.556739000603557
1.5858449999929E7 162.4614109992981
1.5860449553405E7 25.218876000493765
1.5862449487373E7 19.137581000104547
1.5864450119533E7 25.4041610006243
1.5866450006202E7 21.653739999979734
1.5868448950723E7 22.357797000557184
1.5870449323739E7 197.4409490004182
1.5872448828115E7 20.357985999435186
1.5874449231618E7 119.19679399952292
1.5876448828474E7 21.190710000693798
1.5878448842969E7 148.08364699967206
1.5880449474756E7 23.497228000313044
1.588244914254E7 137.1835230011493
1.5884449254658E7 105.22169000096619
1.5886449350388E7 24.09100499935448
1.5888449823377E7 24.52149700000882
1.5890448348716E7 14.11399600096047
1.5892448520168E7 13.17425100132823
1.5894448991344E7 233.4000079985708
1.5896448865866E7 70.32079700008035
1.5898449326737E7 21.542127000167966
1.590044902107E7 169.24887900054455
1.5902448977635E7 14.146939000114799
1.5904449154861E7 20.238424999639392
1.5906449398483E7 219.16660300083458
1.5908449520908E7 21.20719200000167
1.5910449656877E7 20.21025099977851
1.5912449678531E7 139.14524500072002
1.5914450132974E7 126.31104500032961
1.5916449898728E7 25.0797300003469
1.5918450396897E7 21.228581998497248
1.592045052339E7 27.275833001360297
1.5922449294246E7 18.07367199845612
1.592444942455E7 13.072685001417994
1.5926449592245E7 26.230720000341535
1.5928449866641E7 20.242868000641465
1.5930449921617E7 20.226500999182463
1.593244988032E7 17.212291000410914
1.5934450429978E7 221.52536999993026
1.5936450225069E7 19.16245999932289
1.5938450606879E7 25.36526199989021
1.5940450668276E7 114.37079299986362
1.594245067536E7 178.19606100022793
1.5944451087494E7 22.4107930008322
1.5946450710242E7 23.097629999741912
1.5948450772063E7 70.09471400082111
1.5950451267409E7 27.065906999632716
1.5952451546603E7 135.16656900011003
1.5954451657752E7 18.208233999088407
1.5956451604102E7 15.13374400138855
1.5958451848068E7 22.128308000043035
1.5960451907125E7 15.149654999375343
1.5962451968399E7 18.08292599953711
1.5964452663607E7 23.408650999888778
1.596645249025E7 136.1866830009967
1.5968452461372E7 10.167992999777198
1.5970452680526E7 107.20235200040042
1.5972452940848E7 50.40099800005555
1.5974452968635E7 107.24647200107574
1.5976453185292E7 14.241622999310493
1.5978452836077E7 25.065669998526573
1.5980453038282E7 27.135807000100613
1.5982453254213E7 29.281446000561118
1.5984453110291E7 20.07133200019598
1.5986453327269E7 142.2327469997108
1.5988453154301E7 9.074262000620365
1.5990453528813E7 25.26124200038612
1.5992453382894E7 85.09607299976051
1.5994453498207E7 173.11963599920273
1.599645370754E7 25.08627099916339
1.5998454036855E7 27.118352999910712
1.6000454254177E7 20.406430000439286
1.6002454395533E7 17.3501939997077
1.600445414404E7 199.1224760003388
1.6006454056816E7 21.05222500115633
1.6008454708071E7 23.44508600048721
1.6010454569219E7 24.341161001473665
1.601245450847E7 18.22474700026214
1.6014454664273E7 117.13398899883032
1.6016454608854E7 151.08896400034428
1.6018454700827E7 18.135697001591325
1.6020455118128E7 21.42564499936998
1.6022455151504E7 28.24706800095737
1.6024455249413E7 21.25658700056374
1.6026455428924E7 158.29720499925315
1.6028455407915E7 120.08209699951112
1.6030455729318E7 23.244898000732064
1.6032455701899E7 170.2219859994948
1.6034456168036E7 19.56470200046897
1.6036456083976E7 21.267459999769926
1.6038456358129E7 33.43565100058913
1.6040456557244E7 16.442703999578953
1.6042456435028E7 21.386149000376463
1.6044456366858E7 186.17299100011587
1.6046456479956E7 26.250636998564005
1.6048456306387E7 199.07460499927402
1.6050456665737E7 16.277581999078393
1.6052456615243E7 28.20639100112021
1.6054456813913E7 33.31925700046122
1.6056457252498E7 157.3154730014503
1.6058457191969E7 18.240234000608325
1.6060457345335E7 29.32327799871564
1.6062457211371E7 29.14860500022769
1.6064457277542E7 114.14654299989343
1.6066457333705E7 9.11353600025177
1.6068457353143E7 29.074841998517513
1.6070457445823E7 22.144813001155853
1.6072457871894E7 22.277319999411702
1.6074457783785E7 17.267599999904633
1.6076458048727E7 26.35351699963212
1.6078457949469E7 143.1706460006535
1.6080458028714E7 190.23834200017154
1.6082457939558E7 19.179033000022173
1.608445813967E7 19.1729849986732
