Total adds: 100
Total removes: 50
State: 6aed97e4028692975d2990423b373eda836b5900ac9de074b60eb1dfdc028d03
Latencies:
8718468.977854 20.14440100081265
8720452.581713 178.03954200074077
8722452.362189 20.790699999779463
8724452.306575 21.5149409994483
8726452.752306 23.69065300002694
8728452.786922 20.489672999829054
8730453.250685 20.62088800035417
8732453.66693 15.710934000089765
8734453.417816 15.578381000086665
8736453.741672 169.51438199914992
8738454.306079 14.891346000134945
8740453.782916 123.54093899950385
8742454.14572 26.5842389985919
8744454.463304 177.6480279993266
8746454.758421 16.77009000070393
8748455.037867 5.464604999870062
8750455.438814 13.902354998514056
8752455.632646 23.542491000145674
8754455.983622 16.540736999362707
8756455.830784 21.44568300060928
8758456.432937 20.55583900026977
8760456.475584 12.592414001002908
8762456.972718 17.642524000257254
8764457.142083 26.720774000510573
8766457.172656 22.563155999407172
8768457.032436 15.454899000003934
8770456.932138 16.36369699984789
8772457.438771 191.4847059994936
8774457.915691 23.722822999581695
8776458.504343 83.01172999851406
8778458.688727 186.60256800055504
8780459.109509 27.789545999839902
8782458.75581 21.382124999538064
8784459.473154 17.86742899939418
8786458.341486 19.534152999520302
8788458.428108 150.44784499891102
8790458.851124 19.66887000016868
8792458.924585 196.50541799888015
8794458.927912 12.43979600071907
8796458.258137 124.47885400056839
8798458.198649 11.505524000152946
8800458.233634 10.335397999733686
8802458.576521 27.386863000690937
8804458.570661 96.47064600139856
8806459.030247 129.60449599847198
8808459.418969 20.50658500008285
8810459.600423 17.423635000362992
8812459.504812 31.27403200045228
8814460.580306 14.453239999711514
8816461.038074 21.831609999760985
8818460.375109 15.33160199970007
8820461.368507 27.52734199911356
8822461.054724 25.521394001320004
8824459.997644 17.393145000562072
8826460.515837 27.446963001042604
8828460.156574 12.380752999335527
8830460.669509 19.49001899920404
8832460.912951 155.57985300011933
8834460.963479 110.53309099934995
8836461.132752 22.55537499859929
8838461.337085 19.342116998508573
8840461.747548 26.41700200177729
8842462.090672 27.621311999857426
8844463.04257 23.498614000156522
8846462.865854 16.596318000927567
8848462.802235 23.218241998925805
8850462.150496 192.51028300076723
8852462.581542 19.58848199993372
8854462.496668 13.39461199939251
8856462.941166 11.537954000756145
8858462.859303 193.58247100003064
8860462.847783 18.3011590000242
8862463.441158 213.56057699956
8864463.421743 240.51817899942398
8866463.900519 23.491041000932455
8868466.589786 21.82979500107467
8870465.598429 31.405470000579953
8872466.117369 152.28413799963892
8874466.271012 212.47770600020885
8876466.332268 14.333824999630451
8878466.553441 24.32006900012493
8880467.495549 14.89826700091362
8882466.98525 16.255828998982906
8884467.285832 133.41677000001073
8886467.480976 17.32637399993837
8888467.562698 10.448948999866843
8890468.116195 12.576350001618266
8892468.297557 21.56079600006342
8894468.850395 74.487926999107
8896469.280905 24.52781000174582
8898469.33154 22.34558800049126
8900469.524393 160.35369000025094
8902469.331621 30.206399001181126
8904469.98771 13.446432998403907
8906470.600984 193.54111499898136
8908470.310436 16.337141999974847
8910470.533441 140.39423099905252
8912470.749057 28.313598001375794
8914469.72959 135.2658740002662
8916470.287078 12.445369999855757
8918470.222312 22.519342999905348
8920470.36417 118.33542799949646
8922470.749488 29.528121000155807
8924471.442266 213.53019400127232
8926471.503113 25.411961000412703
8928471.503021 23.283882999792695
8930471.041385 50.35428300127387
8932471.479912 15.747588999569416
8934471.463874 5.410269999876618
8936471.494253 15.293794000521302
8938472.041176 83.42501600086689
8940472.448479 17.378938000649214
8942472.685593 21.233030999079347
8944472.586903 30.767725000157952
8946471.964468 23.202814999967813
8948471.969409 225.2502130009234
8950472.819846 22.596816999837756
8952473.240101 19.69387900084257
8954472.125941 22.527887001633644
8956472.421634 22.58463199995458
8958472.967098 146.49159399978817
8960472.95383 25.383851999416947
8962473.688664 12.782418999820948
8964473.775367 21.673632999882102
8966474.075113 14.675427000969648
8968474.509788 23.56682199984789
8970474.938428 18.524800999090075
8972475.393959 8.571111001074314
8974474.702934 154.59502500109375
8976474.359315 17.361386001110077
8978474.330174 25.439430998638272
8980474.511078 23.40991000086069
8982474.791248 22.42895600013435
8984474.969679 201.32567100040615
8986475.068604 10.282422000542283
8988475.876609 26.26783699914813
8990474.766509 164.18363900110126
8992475.480082 13.432155000045896
8994475.491393 29.444124000146985
8996475.629825 23.434100000187755
8998475.841353 26.354684999212623
9000476.241423 21.505747999995947
9002477.392938 17.09246199950576
9004476.650744 19.317462000995874
9006477.393312 19.42596299946308
9008476.873931 176.3204750008881
9010477.136139 19.291370000690222
9012477.387888 11.493611998856068
9014477.601033 19.46935600042343
9016477.253257 27.671099001541734
